Rank,Player,Team,Position,Points,Games,Avg
43,Antonio Gibson,WAS,RB,187.1,16,11.7
44,Leonard Fournette,TB,RB,186.6,14,13.3
45,Tyreek Hill,KC,WR,185.5,17,10.9
47,Cordarrelle Patterson,ATL,RB,182.6,16,11.4
48,Stefon Diggs,BUF,WR,182.5,17,10.7
49,Aaron Jones,GB,RB,177,15,11.8
50,Derrick Henry,TEN,RB,175.3,8,21.9
51,Daniel Carlson,LV,K,174,17,10.2
52,Daniel Jones,NYG,QB,173.6,11,15.8
53,Dalvin Cook,MIN,RB,172.3,13,13.3
54,Josh Jacobs,LV,RB,172,15,11.5
55,Nick Folk,NE,K,171,17,10.1
56,Travis Kelce,KC,TE,170.8,16,10.7
57,Mike Williams,LAC,WR,170.6,16,10.7
58,Sam Darnold,CAR,QB,170.5,12,14.2
59,D.K. Metcalf,SEA,WR,169.3,17,10
60,Tyler Lockett,SEA,WR,168.4,16,10.5
61,Diontae Johnson,PIT,WR,167.4,16,10.5
62,Melvin Gordon III,DEN,RB,167.2,16,10.5
63,Davis Mills,HOU,QB,167,13,12.9
64,Zach Wilson,NYJ,QB,162.9,13,12.5
65,Chris Boswell,PIT,K,162,17,9.5
65,Justin Tucker,BAL,K,162,17,9.5
67,Javonte Williams,DEN,RB,161.9,17,9.5
69,Matt Gay,LAR,K,159,17,9.4
70,Devin Singletary,BUF,RB,157.8,17,9.3
71,Hunter Renfrow,LV,WR,156.1,17,9.2
72,Greg Joseph,MIN,K,156,17,9.2
74,Evan McPherson,CIN,K,154,16,9.6
74,Matt Prater,ARI,K,154,17,9.1
74,David Montgomery,CHI,RB,154,14,11
77,CeeDee Lamb,DAL,WR,153.8,16,9.6
78,Keenan Allen,LAC,WR,151.8,16,9.5
79,AJ Dillon,GB,RB,151.6,17,8.9
80,Michael Pittman Jr.,IND,WR,150.6,17,8.9
81,Jake Elliott,PHI,K,150,17,8.8
83,Darrel Williams,KC,RB,149,17,8.8
84,Dustin Hopkins,Multi,K,147,17,8.7
85,D'Andre Swift,DET,RB,146.9,13,11.3
86,Elijah Mitchell,SF,RB,146,12,12.2
87,Tee Higgins,CIN,WR,145.1,14,10.4
89,DJ Moore,CAR,WR,144.5,17,8.5
90,Chris Godwin,TB,WR,144.4,14,10.3
91,Tyler Bass,BUF,K,143,17,8.4
92,James Robinson,JAC,RB,142.9,14,10.2
93,Brandin Cooks,HOU,WR,141.8,16,8.9
94,Jaylen Waddle,MIA,WR,141.8,16,8.9
96,Greg Zuerlein,DAL,K,140,16,8.8
96,Harrison Butker,KC,K,140,16,8.8
98,Darnell Mooney,CHI,WR,138.7,17,8.2
99,Ryan Succop,TB,K,138,17,8.1
101,Amon-Ra St. Brown,DET,WR,137.3,16,8.6
102,Justin Fields,CHI,QB,136.9,12,11.4
103,Terry McLaurin,WAS,WR,136.5,17,8
104,Marquise Brown,BAL,WR,135.3,16,8.5
105,Amari Cooper,DAL,WR,134.5,15,9
106,Darrell Henderson Jr.,LAR,RB,134.4,12,11.2
107,Mason Crosby,GB,K,134,17,7.9
108,Adam Thielen,MIN,WR,132.8,13,10.2
110,Dalton Schultz,DAL,TE,130.8,17,7.7
111,Christian Kirk,ARI,WR,130.6,17,7.7
112,Randy Bullock,TEN,K,130,16,8.1
113,Brandon McManus,DEN,K,129,17,7.6
114,George Kittle,SF,TE,127,14,9.1
116,Kendrick Bourne,NE,WR,125.5,17,7.4
117,Sony Michel,LAR,RB,125.3,17,7.4
118,Younghoe Koo,ATL,K,125,17,7.4
119,Myles Gaskin,MIA,RB,124.6,17,7.3
121,Tony Pollard,DAL,RB,123.6,15,8.2
122,Graham Gano,NYG,K,123,17,7.2
124,Taysom Hill,NO,QB,122.8,12,10.2
125,DeVonta Smith,PHI,WR,121.6,17,7.2
127,Jameis Winston,NO,QB,120.3,7,17.2
129,Michael Carter,NYJ,RB,118.4,14,8.5
130,Van Jefferson,LAR,WR,118.2,17,7
132,A.J. Brown,TEN,WR,117.9,13,9.1
134,Tyler Boyd,CIN,WR,116.8,16,7.3
135,Rob Gronkowski,TB,TE,116.2,12,9.7
136,Cairo Santos,CHI,K,116,17,6.8
137,Rashaad Penny,SEA,RB,115.7,10,11.6
138,Dawson Knox,BUF,TE,115.1,15,7.7
139,Jason Sanders,MIA,K,115,17,6.8
140,Hunter Henry,NE,TE,114.3,16,7.1
140,Brandon Aiyuk,SF,WR,114.3,17,6.7
142,Devonta Freeman,BAL,RB,112.6,16,7
143,Chuba Hubbard,CAR,RB,112.6,16,7
144,Robbie Gould,SF,K,112,13,8.6
