Rank,Player,Team,Position,Points,Games,Avg,Teams
383,Craig Reynolds,DET,RB,28.2,5,5.6,"ATL, JAC, DET"
384,Isaiah Ford,MIA,WR,28.1,9,3.1,MIA
385,Greg Ward,PHI,WR,27.6,10,2.8,PHI
386,Tavon Austin,JAC,WR,27.4,12,2.3,"LAR, DAL, GB, JAC"
387,D.J. Chark Jr.,JAC,WR,27.4,3,9.1,JAC
388,Ray-Ray McCloud,PIT,WR,27.2,16,1.7,"BUF, PIT"
389,Elijhaa Penny,NYG,RB,26.9,13,2.1,"ARI, NYG"
390,Salvon Ahmed,MIA,RB,26.6,11,2.4,MIA
391,JaMycal Hasty,SF,RB,26.5,11,2.4,SF
392,James O'Shaughnessy,JAC,TE,26.4,7,3.8,"KC, JAC"
393,Trey Sermon,SF,RB,25.3,6,4.2,SF
394,Maxx Williams,ARI,TE,25.3,5,5.1,"BAL, ARI"
395,Cooper Rush,DAL,QB,25.1,4,6.3,DAL
396,Royce Freeman,HOU,RB,24.6,12,2.1,"DEN, HOU"
397,Jordan Love,GB,QB,24.2,6,4,GB
398,Joe Flacco,NYJ,QB,23.8,2,11.9,"BAL, DEN, NYJ"
399,Brock Wright,DET,TE,23.7,8,3,DET
400,Ihmir Smith-Marsette,MIN,WR,23.6,6,3.9,MIN
401,Kendall Hinton,DEN,WR,23.5,11,2.1,DEN
402,Anthony Schwartz,CLE,WR,23.4,13,1.8,CLE
403,Tyler Kroft,NYJ,TE,23.3,9,2.6,"CIN, BUF, NYJ"
404,Tajae Sharpe,ATL,WR,23,14,1.6,"TEN, KC, ATL"
404,Albert Wilson,MIA,WR,23,10,2.3,"KC, MIA"
406,Jerick McKinnon,KC,RB,22.9,9,2.5,"MIN, SF, KC"
407,Corey Clement,DAL,RB,22.9,11,2.1,"PHI, DAL"
408,Adrian Peterson,SEA,RB,22.6,4,5.7,"MIN, ARI, WAS, DET, SEA"
409,Stephen Anderson,LAC,TE,22.5,14,1.6,"HOU, NE, LAC"
410,Breshad Perriman,TB,WR,22.4,5,4.5,"BAL, CLE, TB, NYJ"
411,Parris Campbell,IND,WR,22.2,6,3.7,IND
412,Eno Benjamin,ARI,RB,22,8,2.8,ARI
412,Aldrick Rosas,DET,K,22,5,4.4,"NYG, JAC, DET"
414,Jermar Jefferson,DET,RB,21.7,5,4.3,DET
415,Blake Jarwin,DAL,TE,21.6,8,2.7,DAL
416,Marcedes Lewis,GB,TE,21.4,13,1.7,"JAC, GB"
417,Eric Ebron,PIT,TE,20.5,8,2.6,"DET, IND, PIT"
418,James Proche II,BAL,WR,20.2,7,2.9,BAL
419,Lirim Hajrullahu,CAR,K,20,4,5,CAR
420,JuJu Smith-Schuster,PIT,WR,19.8,5,4,PIT
421,Malcolm Brown,MIA,RB,19.5,6,3.3,"LAR, MIA"
421,O.J. Howard,TB,TE,19.5,11,1.8,TB
423,Mason Rudolph,PIT,QB,19.4,2,9.7,PIT
424,Nick Vannett,NO,TE,19.3,7,2.8,"SEA, PIT, DEN, NO"
425,James White,NE,RB,19.2,3,6.4,NE
426,Kene Nwangwu,MIN,RB,19,9,2.1,MIN
427,Ian Thomas,CAR,TE,18.8,14,1.3,CAR
428,Noah Brown,DAL,WR,18.4,10,1.8,DAL
429,D'Wayne Eskridge,SEA,WR,18.3,8,2.3,SEA
430,Ryan Santoso,LAR,K,18,4,4.5,"TEN, NYG, LAR"
431,KhaDarel Hodge,DET,WR,17.7,12,1.5,"LAR, CLE, DET"
431,Jordan Akins,HOU,TE,17.7,12,1.5,HOU
431,Mohamed Sanu Sr.,SF,WR,17.7,8,2.2,"CIN, ATL, NE, DET, SF"
434,Tony Jones Jr.,NO,RB,17.1,10,1.7,NO
435,Elliott Fry,CIN,K,17,3,5.7,"ATL, CIN"
435,Austin Walter,NYJ,RB,17,4,4.3,"NYG, SF, NYJ"
437,P.J. Walker,CAR,QB,16.8,5,3.4,"IND, CAR"
437,Nick Foles,CHI,QB,16.8,1,16.8,"PHI, LAR, KC, JAC, CHI"
439,Jody Fortson,KC,WR,16.7,4,4.2,KC
439,Zach Gentry,PIT,TE,16.7,10,1.7,PIT
439,Jonathan Williams,WAS,RB,16.7,5,3.3,"BUF, NO, IND, WAS"
442,N'Keal Harry,NE,WR,16.4,10,1.6,NE
443,Kristian Wilkerson,NE,WR,16.2,1,16.2,NE
444,Dyami Brown,WAS,WR,16.1,10,1.6,WAS
445,C.J. Ham,MIN,RB,15.9,15,1.1,MIN
446,Marcus Johnson,TEN,WR,15.8,7,2.3,"PHI, IND, TEN"
447,Terrace Marshall Jr.,CAR,WR,15.8,12,1.3,CAR
448,Qadree Ollison,ATL,RB,15.7,6,2.6,ATL
449,Dante Pettis,NYG,WR,15.3,3,5.1,"SF, NYG"
450,Patrick Taylor Jr.,GB,RB,15.2,5,3,GB
451,Pharaoh Brown,HOU,TE,15.1,13,1.2,"LV, CLE, HOU"
452,Marcus Mariota,LV,QB,14.9,7,2.1,"TEN, LV"
453,Trent Sherfield,SF,WR,14.7,12,1.2,"ARI, SF"
454,Alec Ingold,LV,RB,14.6,7,2.1,LV
455,Larry Rountree III,LAC,RB,14.6,10,1.5,LAC
456,J.J. Taylor,NE,RB,14.5,5,2.9,NE
457,Jesper Horsted,CHI,TE,14.1,4,3.5,CHI
458,Scotty Miller,TB,WR,14.1,6,2.4,TB
459,Godwin Igwebuike,DET,RB,14,9,1.6,"SF, DET"
460,Ty Montgomery,NO,RB,13.9,14,1,"GB, BAL, NYJ, NO"
460,Jake Fromm,NYG,QB,13.9,3,4.6,"BUF, NYG"
462,Brandon Allen,CIN,QB,13.8,5,2.8,"JAC, LAR, DEN, CIN"
463,Ben Skowronek,LAR,WR,13.3,12,1.1,LAR
464,Denzel Mims,NYJ,WR,13.3,10,1.3,NYJ
465,Chris Manhertz,JAC,TE,13.1,10,1.3,"CAR, JAC"
466,Dominik Eberle,HOU,K,13,1,13,"LV, CAR"
466,Sean Mannion,MIN,QB,13,1,13,"LAR, MIN"
468,Kenny Stills,NO,WR,12.9,7,1.8,"NO, MIA, HOU, BUF"
469,Patrick Ricard,BAL,RB,12.7,8,1.6,BAL
470,Lee Smith,ATL,TE,12.5,10,1.3,"BUF, LV, ATL"
470,Wayne Gallman Jr.,MIN,RB,12.5,9,1.4,"NYG, MIN"
472,Tom Kennedy,DET,WR,12.4,7,1.8,DET
473,Brian Hoyer,NE,QB,12.3,5,2.5,"NE, ARI, CLE, HOU, CHI, IND"
474,Jesse James,CHI,TE,12.2,5,2.4,"PIT, DET, CHI"
475,Joshua Kelley,LAC,RB,12,8,1.5,LAC
476,Michael Burton,KC,RB,11.7,10,1.2,"DET, CHI, WAS, NO, KC"
477,Jacob Hollister,JAC,TE,11.5,7,1.6,"NE, SEA, JAC"
478,Equanimeous St. Brown,GB,WR,11.2,12,0.9,GB
478,Jalen Richard,LV,RB,11.2,9,1.2,LV
478,Jeff Smith,NYJ,WR,11.2,9,1.2,NYJ
481,Ross Dwelley,SF,TE,11.1,4,2.8,SF
482,Benny Snell Jr.,PIT,RB,11.1,16,0.7,PIT
483,Adam Shaheen,MIA,TE,11,9,1.2,"CHI, MIA"
483,Phillip Dorsett II,HOU,WR,11,5,2.2,"IND, NE, SEA, HOU"
483,Chris Blewitt,WAS,K,11,2,5.5,CLE
486,Marlon Mack,IND,RB,10.9,6,1.8,IND
