Rank,Player,Team,Position,Points,Games,Avg,Teams,Age,Height,College,Years in NFL
70,Devin Singletary,BUF,RB,157.8,17,9.3,BUF,24, 5-7,Florida Atlantic,3
71,Hunter Renfrow,LV,WR,156.1,17,9.2,LV,26, 5-10,Clemson,3
72,Greg Joseph,MIN,K,156,17,9.2,"CLE, TEN, TB, MIN",27, 6-0,Florida Atlantic,2
74,Matt Prater,ARI,K,154,17,9.1,"DEN, DET, ARI",37, 5-10,UCF,15
74,David Montgomery,CHI,RB,154,14,11,CHI,24, 5-11,Iowa State,3
74,Evan McPherson,CIN,K,154,16,9.6,CIN,22, 5-11,Florida,0
77,CeeDee Lamb,DAL,WR,153.8,16,9.6,DAL,22, 6-2,Oklahoma,2
78,Keenan Allen,LAC,WR,151.8,16,9.5,LAC,29, 6-2,California,9
79,AJ Dillon,GB,RB,151.6,17,8.9,GB,23, 6-0,Boston College,2
80,Michael Pittman Jr.,IND,WR,150.6,17,8.9,"ARI, TB, DEN",24, 6-0,Fresno State,11
81,Jake Elliott,PHI,K,150,17,8.8,PHI,27, 5-9,Memphis,5
83,Darrel Williams,KC,RB,149,17,8.8,KC,26, 5-11,LSU,4
84,Dustin Hopkins,LAC,K,147,17,8.7,"BUF, WAS, LAC",31, 6-2,Florida State,8
85,D'Andre Swift,DET,RB,146.9,13,11.3,DET,23, 5-9,Georgia,2
86,Elijah Mitchell,SF,RB,146,12,12.2,SF,23, 5-10,Louisiana,0
87,Tee Higgins,CIN,WR,145.1,14,10.4,CIN,23, 6-4,Clemson,2
89,DJ Moore,CAR,WR,144.5,17,8.5,CAR,24, 6-0,Maryland,4
90,Chris Godwin,TB,WR,144.4,14,10.3,TB,26, 6-1,Penn State,5
91,Tyler Bass,BUF,K,143,17,8.4,BUF,25, 5-10,Georgia Southern,2
92,James Robinson,JAC,RB,142.9,14,10.2,JAC,23, 5-9,Illinois State,2
93,Brandin Cooks,HOU,WR,141.8,16,8.9,"NO, NE, LAR, HOU",28, 5-10,Oregon State,8
94,Jaylen Waddle,MIA,WR,141.8,16,8.9,MIA,23, 5-10,Alabama,0
96,Greg Zuerlein,DAL,K,140,16,8.8,"LAR, DAL",34, 6-0,Missouri Western,10
96,Harrison Butker,KC,K,140,16,8.8,KC,26, 6-4,Georgia Tech,5
98,Darnell Mooney,CHI,WR,138.7,17,8.2,CHI,24, 5-11,Tulane,2
99,Ryan Succop,TB,K,138,17,8.1,"KC, TEN, TB",35, 6-2,South Carolina,13
101,Amon-Ra St. Brown,DET,WR,137.3,16,8.6,DET,22, 6-0,USC,0
102,Justin Fields,CHI,QB,136.9,12,11.4,CHI,23, 6-3,Ohio State,0
103,Terry McLaurin,WAS,WR,136.5,17,8,WAS,26, 6-0,Ohio State,3
104,Marquise Brown,BAL,WR,135.3,16,8.5,BAL,24, 5-9,Oklahoma,3
105,Amari Cooper,DAL,WR,134.5,15,9,"LV, DAL",27, 6-1,Alabama,7
106,Darrell Henderson Jr.,LAR,RB,134.4,12,11.2,LAR,24, 5-8,Memphis,3
107,Mason Crosby,GB,K,134,17,7.9,GB,37, 6-1,Colorado,15
108,Adam Thielen,MIN,WR,132.8,13,10.2,MIN,31, 6-2,Minnesota State,8
110,Dalton Schultz,DAL,TE,130.8,17,7.7,DAL,25, 6-5,Stanford,4
111,Christian Kirk,ARI,WR,130.6,17,7.7,ARI,25, 5-11,Texas A&M,4
112,Randy Bullock,TEN,K,130,16,8.1,"HOU, NYJ, CIN, TEN",32, 5-9,Texas A&M,10
113,Brandon McManus,DEN,K,129,17,7.6,DEN,30, 6-3,Temple,8
114,George Kittle,SF,TE,127,14,9.1,SF,28, 6-4,Iowa,5
116,Kendrick Bourne,NE,WR,125.5,17,7.4,"SF, NE",26, 6-1,Eastern Washington,5
117,Sony Michel,LAR,RB,125.3,17,7.4,"NE, LAR",27, 5-11,Georgia,4
118,Younghoe Koo,ATL,K,125,17,7.4,"LAC, ATL",27, 5-10,Georgia Southern,3
119,Myles Gaskin,MIA,RB,124.6,17,7.3,MIA,25, 5-10,Washington,3
121,Tony Pollard,DAL,RB,123.6,15,8.2,DAL,24, 6-0,Memphis,3
122,Graham Gano,NYG,K,123,17,7.2,"WAS, CAR, NYG",34, 6-2,Florida State,12
124,Taysom Hill,NO,QB,122.8,12,10.2,NO,31, 6-2,BYU,5
125,DeVonta Smith,PHI,WR,121.6,17,7.2,PHI,23, 6-0,Alabama,0
127,Jameis Winston,NO,QB,120.3,7,17.2,"TB, NO",28, 6-4,Florida State,7
129,Michael Carter,NYJ,RB,118.4,14,8.5,NYJ,22, 5-8,North Carolina,0
130,Van Jefferson,LAR,WR,118.2,17,7,LAR,25, 6-1,Florida,2
132,A.J. Brown,TEN,WR,117.9,13,9.1,TEN,24, 6-1,Mississippi,3
134,Tyler Boyd,CIN,WR,116.8,16,7.3,CIN,27, 6-2,Pittsburgh,6
135,Rob Gronkowski,TB,TE,116.2,12,9.7,"NE, TB",32, 6-6,Arizona,11
136,Cairo Santos,CHI,K,116,17,6.8,"KC, CHI, TB, TEN",30, 5-8,Tulane,7
137,Rashaad Penny,SEA,RB,115.7,10,11.6,SEA,26, 5-11,San Diego State,4
138,Dawson Knox,BUF,TE,115.1,15,7.7,BUF,25, 6-4,Mississippi,3
139,Jason Sanders,MIA,K,115,17,6.8,MIA,26, 5-11,New Mexico,4
140,Hunter Henry,NE,TE,114.3,16,7.1,"LAC, NE",27, 6-5,Arkansas,6
140,Brandon Aiyuk,SF,WR,114.3,17,6.7,SF,24, 6-0,Arizona State,2
142,Devonta Freeman,BAL,RB,112.6,16,7,"ATL, BUF, BAL",30, 5-8,Florida State,8
143,Chuba Hubbard,CAR,RB,112.6,16,7,CAR,22, 6-1,Oklahoma State,0
144,Robbie Gould,SF,K,112,13,8.6,"CHI, NYG, SF",39, 6-0,Penn State,17
